Resonance Peak Shift (nm),Concentration (uM),Dissociation Constant (uM^-1),,,,,
29.42942943,0.001,0.001,29.42942943,901.2012012,0.001,0.011,930.6306306
31.23123123,0.001206793,0.001,31.23123123,902.4024024,0.001206793,0.011,933.6336336
32.73273273,0.001456348,0.001,32.73273273,903.7037037,0.001456348,0.011,936.4364364
33.83383383,0.001757511,0.001,33.83383383,905.3053053,0.001757511,0.011,939.1391391
34.63463463,0.002120951,0.001,34.63463463,907.007007,0.002120951,0.011,941.6416416
34.83483483,0.002559548,0.001,34.83483483,909.009009,0.002559548,0.011,943.8438438
34.53453453,0.003088844,0.001,34.53453453,911.3113113,0.003088844,0.011,945.8458458
33.93393393,0.003727594,0.001,33.93393393,913.7137137,0.003727594,0.011,947.6476476
32.83283283,0.004498433,0.001,32.83283283,916.4164164,0.004498433,0.011,949.2492492
31.33133133,0.005428675,0.001,31.33133133,919.2192192,0.005428675,0.011,950.5505506
29.52952953,0.006551286,0.001,29.52952953,922.2222222,0.006551286,0.011,951.7517518
27.52752753,0.007906043,0.001,27.52752753,925.2252252,0.007906043,0.011,952.7527528
25.22522523,0.009540955,0.001,25.22522523,928.3283283,0.009540955,0.011,953.5535536
23.02302302,0.011513954,0.001,23.02302302,931.3313313,0.011513954,0.011,954.3543544
20.62062062,0.013894955,0.001,20.62062062,934.3343343,0.013894955,0.011,954.954955
18.31831832,0.016768329,0.001,18.31831832,937.1371371,0.016768329,0.011,955.4554555
16.11611612,0.020235896,0.001,16.11611612,939.7397397,0.020235896,0.011,955.8558559
14.11411411,0.024420531,0.001,14.11411411,942.1421421,0.024420531,0.011,956.2562563
12.21221221,0.029470517,0.001,12.21221221,944.3443443,0.029470517,0.011,956.5565566
10.41041041,0.035564803,0.001,10.41041041,946.3463463,0.035564803,0.011,956.7567568
8.908908909,0.042919343,0.001,8.908908909,948.048048,0.042919343,0.011,956.956957
7.607607608,0.051794747,0.001,7.607607608,949.5495495,0.051794747,0.011,957.1571572
6.506506507,0.062505519,0.001,6.506506507,950.8508509,0.062505519,0.011,957.3573574
5.405405405,0.075431201,0.001,5.405405405,952.0520521,0.075431201,0.011,957.4574575
4.604604605,0.091029818,0.001,4.604604605,952.952953,0.091029818,0.011,957.5575576
3.903903904,0.109854114,0.001,3.903903904,953.7537538,0.109854114,0.011,957.6576577
3.203203203,0.132571137,0.001,3.203203203,954.4544545,0.132571137,0.011,957.6576577
2.702702703,0.159985872,0.001,2.702702703,955.0550551,0.159985872,0.011,957.7577578
2.202202202,0.193069773,0.001,2.202202202,955.5555556,0.193069773,0.011,957.7577578
1.901901902,0.232995181,0.001,1.901901902,955.955956,0.232995181,0.011,957.8578579
1.501501502,0.28117687,0.001,1.501501502,956.3563564,0.28117687,0.011,957.8578579
1.301301301,0.339322177,0.001,1.301301301,956.5565566,0.339322177,0.011,957.8578579
1.101101101,0.409491506,0.001,1.101101101,956.8568569,0.409491506,0.011,957.957958
0.900900901,0.494171336,0.001,0.900900901,957.0570571,0.494171336,0.011,957.957958
0.700700701,0.596362332,0.001,0.700700701,957.2572573,0.596362332,0.011,957.957958
0.600600601,0.719685673,0.001,0.600600601,957.3573574,0.719685673,0.011,957.957958
0.500500501,0.868511374,0.001,0.500500501,957.4574575,0.868511374,0.011,957.957958
0.4004004,1.048113134,0.001,0.4004004,957.5575576,1.048113134,0.011,957.957958
0.3003003,1.264855217,0.001,0.3003003,957.6576577,1.264855217,0.011,957.957958
0.2002002,1.526417967,0.001,0.2002002,957.7577578,1.526417967,0.011,957.957958
0.2002002,1.842069969,0.001,0.2002002,957.7577578,1.842069969,0.011,957.957958
0.2002002,2.222996483,0.001,0.2002002,957.8578579,2.222996483,0.011,958.0580581
0.2002002,2.682695795,0.001,0.2002002,957.8578579,2.682695795,0.011,958.0580581
0.2002002,3.237457543,0.001,0.2002002,957.8578579,3.237457543,0.011,958.0580581
0.2002002,3.906939937,0.001,0.2002002,957.8578579,3.906939937,0.011,958.0580581
0.1001001,4.714866363,0.001,0.1001001,957.957958,4.714866363,0.011,958.0580581
0.1001001,5.689866029,0.001,0.1001001,957.957958,5.689866029,0.011,958.0580581
0.1001001,6.86648845,0.001,0.1001001,957.957958,6.86648845,0.011,958.0580581
0.1001001,8.286427729,0.001,0.1001001,957.957958,8.286427729,0.011,958.0580581
0.1001001,10,0.001,0.1001001,957.957958,10,0.011,958.0580581
18.21821822,0.001,0.002,18.21821822,901.2012012,0.001,0.011,919.4194194
20.02002002,0.001206793,0.002,20.02002002,902.4024024,0.001206793,0.011,922.4224224
21.72172172,0.001456348,0.002,21.72172172,903.7037037,0.001456348,0.011,925.4254254
23.22322322,0.001757511,0.002,23.22322322,905.3053053,0.001757511,0.011,928.5285285
24.62462462,0.002120951,0.002,24.62462462,907.007007,0.002120951,0.011,931.6316316
25.52552553,0.002559548,0.002,25.52552553,909.009009,0.002559548,0.011,934.5345345
26.02602603,0.003088844,0.002,26.02602603,911.3113113,0.003088844,0.011,937.3373373
26.22622623,0.003727594,0.002,26.22622623,913.7137137,0.003727594,0.011,939.9399399
25.92592593,0.004498433,0.002,25.92592593,916.4164164,0.004498433,0.011,942.3423423
25.32532533,0.005428675,0.002,25.32532533,919.2192192,0.005428675,0.011,944.5445445
24.22422422,0.006551286,0.002,24.22422422,922.2222222,0.006551286,0.011,946.4464464
22.92292292,0.007906043,0.002,22.92292292,925.2252252,0.007906043,0.011,948.1481481
21.32132132,0.009540955,0.002,21.32132132,928.3283283,0.009540955,0.011,949.6496496
19.61961962,0.011513954,0.002,19.61961962,931.3313313,0.011513954,0.011,950.950951
17.71771772,0.013894955,0.002,17.71771772,934.3343343,0.013894955,0.011,952.0520521
15.91591592,0.016768329,0.002,15.91591592,937.1371371,0.016768329,0.011,953.0530531
14.11411411,0.020235896,0.002,14.11411411,939.7397397,0.020235896,0.011,953.8538539
12.41241241,0.024420531,0.002,12.41241241,942.1421421,0.024420531,0.011,954.5545546
10.71071071,0.029470517,0.002,10.71071071,944.3443443,0.029470517,0.011,955.0550551
9.209209209,0.035564803,0.002,9.209209209,946.3463463,0.035564803,0.011,955.5555556
7.907907908,0.042919343,0.002,7.907907908,948.048048,0.042919343,0.011,955.955956
6.806806807,0.051794747,0.002,6.806806807,949.5495495,0.051794747,0.011,956.3563564
5.805805806,0.062505519,0.002,5.805805806,950.8508509,0.062505519,0.011,956.6566567
4.804804805,0.075431201,0.002,4.804804805,952.0520521,0.075431201,0.011,956.8568569
4.104104104,0.091029818,0.002,4.104104104,952.952953,0.091029818,0.011,957.0570571
3.503503504,0.109854114,0.002,3.503503504,953.7537538,0.109854114,0.011,957.2572573
2.902902903,0.132571137,0.002,2.902902903,954.4544545,0.132571137,0.011,957.3573574
2.402402402,0.159985872,0.002,2.402402402,955.0550551,0.159985872,0.011,957.4574575
2.002002002,0.193069773,0.002,2.002002002,955.5555556,0.193069773,0.011,957.5575576
1.701701702,0.232995181,0.002,1.701701702,955.955956,0.232995181,0.011,957.6576577
1.401401401,0.28117687,0.002,1.401401401,956.3563564,0.28117687,0.011,957.7577578
1.201201201,0.339322177,0.002,1.201201201,956.5565566,0.339322177,0.011,957.7577578
1.001001001,0.409491506,0.002,1.001001001,956.8568569,0.409491506,0.011,957.8578579
0.800800801,0.494171336,0.002,0.800800801,957.0570571,0.494171336,0.011,957.8578579
0.600600601,0.596362332,0.002,0.600600601,957.2572573,0.596362332,0.011,957.8578579
0.5005005,0.719685673,0.002,0.5005005,957.3573574,0.719685673,0.011,957.8578579
0.500500501,0.868511374,0.002,0.500500501,957.4574575,0.868511374,0.011,957.957958
0.4004004,1.048113134,0.002,0.4004004,957.5575576,1.048113134,0.011,957.957958
0.3003003,1.264855217,0.002,0.3003003,957.6576577,1.264855217,0.011,957.957958
0.2002002,1.526417967,0.002,0.2002002,957.7577578,1.526417967,0.011,957.957958
0.2002002,1.842069969,0.002,0.2002002,957.7577578,1.842069969,0.011,957.957958
0.1001001,2.222996483,0.002,0.1001001,957.8578579,2.222996483,0.011,957.957958
0.1001001,2.682695795,0.002,0.1001001,957.8578579,2.682695795,0.011,957.957958
0.1001001,3.237457543,0.002,0.1001001,957.8578579,3.237457543,0.011,957.957958
0.1001001,3.906939937,0.002,0.1001001,957.8578579,3.906939937,0.011,957.957958
0.1001001,4.714866363,0.002,0.1001001,957.957958,4.714866363,0.011,958.0580581
0.1001001,5.689866029,0.002,0.1001001,957.957958,5.689866029,0.011,958.0580581
0.1001001,6.86648845,0.002,0.1001001,957.957958,6.86648845,0.011,958.0580581
0.1001001,8.286427729,0.002,0.1001001,957.957958,8.286427729,0.011,958.0580581
0.1001001,10,0.002,0.1001001,957.957958,10,0.011,958.0580581
12.31231231,0.001,0.003,12.31231231,901.2012012,0.001,0.011,913.5135135
13.71371371,0.001206793,0.003,13.71371371,902.4024024,0.001206793,0.011,916.1161161
15.21521522,0.001456348,0.003,15.21521522,903.7037037,0.001456348,0.011,918.9189189
16.61661662,0.001757511,0.003,16.61661662,905.3053053,0.001757511,0.011,921.9219219
18.01801802,0.002120951,0.003,18.01801802,907.007007,0.002120951,0.011,925.025025
19.01901902,0.002559548,0.003,19.01901902,909.009009,0.002559548,0.011,928.028028
19.81981982,0.003088844,0.003,19.81981982,911.3113113,0.003088844,0.011,931.1311311
20.32032032,0.003727594,0.003,20.32032032,913.7137137,0.003727594,0.011,934.034034
20.52052052,0.004498433,0.003,20.52052052,916.4164164,0.004498433,0.011,936.9369369
20.32032032,0.005428675,0.003,20.32032032,919.2192192,0.005428675,0.011,939.5395395
19.71971972,0.006551286,0.003,19.71971972,922.2222222,0.006551286,0.011,941.9419419
19.01901902,0.007906043,0.003,19.01901902,925.2252252,0.007906043,0.011,944.2442442
17.81781782,0.009540955,0.003,17.81781782,928.3283283,0.009540955,0.011,946.1461461
16.61661662,0.011513954,0.003,16.61661662,931.3313313,0.011513954,0.011,947.9479479
15.11511512,0.013894955,0.003,15.11511512,934.3343343,0.013894955,0.011,949.4494494
13.61361361,0.016768329,0.003,13.61361361,937.1371371,0.016768329,0.011,950.7507508
12.21221221,0.020235896,0.003,12.21221221,939.7397397,0.020235896,0.011,951.951952
10.71071071,0.024420531,0.003,10.71071071,942.1421421,0.024420531,0.011,952.8528529
9.409409409,0.029470517,0.003,9.409409409,944.3443443,0.029470517,0.011,953.7537538
8.108108108,0.035564803,0.003,8.108108108,946.3463463,0.035564803,0.011,954.4544545
7.007007007,0.042919343,0.003,7.007007007,948.048048,0.042919343,0.011,955.0550551
6.006006006,0.051794747,0.003,6.006006006,949.5495495,0.051794747,0.011,955.5555556
5.105105105,0.062505519,0.003,5.105105105,950.8508509,0.062505519,0.011,955.955956
4.204204204,0.075431201,0.003,4.204204204,952.0520521,0.075431201,0.011,956.2562563
3.603603604,0.091029818,0.003,3.603603604,952.952953,0.091029818,0.011,956.5565566
3.103103103,0.109854114,0.003,3.103103103,953.7537538,0.109854114,0.011,956.8568569
2.602602603,0.132571137,0.003,2.602602603,954.4544545,0.132571137,0.011,957.0570571
2.102102102,0.159985872,0.003,2.102102102,955.0550551,0.159985872,0.011,957.1571572
1.801801802,0.193069773,0.003,1.801801802,955.5555556,0.193069773,0.011,957.3573574
1.501501502,0.232995181,0.003,1.501501502,955.955956,0.232995181,0.011,957.4574575
1.201201201,0.28117687,0.003,1.201201201,956.3563564,0.28117687,0.011,957.5575576
1.101101101,0.339322177,0.003,1.101101101,956.5565566,0.339322177,0.011,957.6576577
0.800800801,0.409491506,0.003,0.800800801,956.8568569,0.409491506,0.011,957.6576577
0.700700701,0.494171336,0.003,0.700700701,957.0570571,0.494171336,0.011,957.7577578
0.5005005,0.596362332,0.003,0.5005005,957.2572573,0.596362332,0.011,957.7577578
0.5005005,0.719685673,0.003,0.5005005,957.3573574,0.719685673,0.011,957.8578579
0.4004004,0.868511374,0.003,0.4004004,957.4574575,0.868511374,0.011,957.8578579
0.3003003,1.048113134,0.003,0.3003003,957.5575576,1.048113134,0.011,957.8578579
0.3003003,1.264855217,0.003,0.3003003,957.6576577,1.264855217,0.011,957.957958
0.2002002,1.526417967,0.003,0.2002002,957.7577578,1.526417967,0.011,957.957958
0.2002002,1.842069969,0.003,0.2002002,957.7577578,1.842069969,0.011,957.957958
0.1001001,2.222996483,0.003,0.1001001,957.8578579,2.222996483,0.011,957.957958
0.1001001,2.682695795,0.003,0.1001001,957.8578579,2.682695795,0.011,957.957958
0.1001001,3.237457543,0.003,0.1001001,957.8578579,3.237457543,0.011,957.957958
0.1001001,3.906939937,0.003,0.1001001,957.8578579,3.906939937,0.011,957.957958
0,4.714866363,0.003,0,957.957958,4.714866363,0.011,957.957958
0,5.689866029,0.003,0,957.957958,5.689866029,0.011,957.957958
0.1001001,6.86648845,0.003,0.1001001,957.957958,6.86648845,0.011,958.0580581
0.1001001,8.286427729,0.003,0.1001001,957.957958,8.286427729,0.011,958.0580581
0.1001001,10,0.003,0.1001001,957.957958,10,0.011,958.0580581
8.708708709,0.001,0.004,8.708708709,901.2012012,0.001,0.011,909.9099099
9.80980981,0.001206793,0.004,9.80980981,902.4024024,0.001206793,0.011,912.2122122
11.01101101,0.001456348,0.004,11.01101101,903.7037037,0.001456348,0.011,914.7147147
12.11211211,0.001757511,0.004,12.11211211,905.3053053,0.001757511,0.011,917.4174174
13.31331331,0.002120951,0.004,13.31331331,907.007007,0.002120951,0.011,920.3203203
14.31431431,0.002559548,0.004,14.31431431,909.009009,0.002559548,0.011,923.3233233
15.11511512,0.003088844,0.004,15.11511512,911.3113113,0.003088844,0.011,926.4264264
15.81581582,0.003727594,0.004,15.81581582,913.7137137,0.003727594,0.011,929.5295295
16.11611612,0.004498433,0.004,16.11611612,916.4164164,0.004498433,0.011,932.5325325
16.21621622,0.005428675,0.004,16.21621622,919.2192192,0.005428675,0.011,935.4354354
15.91591592,0.006551286,0.004,15.91591592,922.2222222,0.006551286,0.011,938.1381381
15.51551552,0.007906043,0.004,15.51551552,925.2252252,0.007906043,0.011,940.7407407
14.71471471,0.009540955,0.004,14.71471471,928.3283283,0.009540955,0.011,943.043043
13.81381381,0.011513954,0.004,13.81381381,931.3313313,0.011513954,0.011,945.1451451
12.71271271,0.013894955,0.004,12.71271271,934.3343343,0.013894955,0.011,947.047047
11.51151151,0.016768329,0.004,11.51151151,937.1371371,0.016768329,0.011,948.6486486
10.31031031,0.020235896,0.004,10.31031031,939.7397397,0.020235896,0.011,950.0500501
9.209209209,0.024420531,0.004,9.209209209,942.1421421,0.024420531,0.011,951.3513514
8.008008008,0.029470517,0.004,8.008008008,944.3443443,0.029470517,0.011,952.3523524
6.906906907,0.035564803,0.004,6.906906907,946.3463463,0.035564803,0.011,953.2532533
6.006006006,0.042919343,0.004,6.006006006,948.048048,0.042919343,0.011,954.0540541
5.205205205,0.051794747,0.004,5.205205205,949.5495495,0.051794747,0.011,954.7547548
4.404404404,0.062505519,0.004,4.404404404,950.8508509,0.062505519,0.011,955.2552553
3.703703704,0.075431201,0.004,3.703703704,952.0520521,0.075431201,0.011,955.7557558
3.203203203,0.091029818,0.004,3.203203203,952.952953,0.091029818,0.011,956.1561562
2.702702703,0.109854114,0.004,2.702702703,953.7537538,0.109854114,0.011,956.4564565
2.202202202,0.132571137,0.004,2.202202202,954.4544545,0.132571137,0.011,956.6566567
1.901901902,0.159985872,0.004,1.901901902,955.0550551,0.159985872,0.011,956.956957
1.601601602,0.193069773,0.004,1.601601602,955.5555556,0.193069773,0.011,957.1571572
1.301301301,0.232995181,0.004,1.301301301,955.955956,0.232995181,0.011,957.2572573
1.001001001,0.28117687,0.004,1.001001001,956.3563564,0.28117687,0.011,957.3573574
0.900900901,0.339322177,0.004,0.900900901,956.5565566,0.339322177,0.011,957.4574575
0.700700701,0.409491506,0.004,0.700700701,956.8568569,0.409491506,0.011,957.5575576
0.600600601,0.494171336,0.004,0.600600601,957.0570571,0.494171336,0.011,957.6576577
0.5005005,0.596362332,0.004,0.5005005,957.2572573,0.596362332,0.011,957.7577578
0.4004004,0.719685673,0.004,0.4004004,957.3573574,0.719685673,0.011,957.7577578
0.4004004,0.868511374,0.004,0.4004004,957.4574575,0.868511374,0.011,957.8578579
0.3003003,1.048113134,0.004,0.3003003,957.5575576,1.048113134,0.011,957.8578579
0.2002002,1.264855217,0.004,0.2002002,957.6576577,1.264855217,0.011,957.8578579
0.2002002,1.526417967,0.004,0.2002002,957.7577578,1.526417967,0.011,957.957958
0.2002002,1.842069969,0.004,0.2002002,957.7577578,1.842069969,0.011,957.957958
0.1001001,2.222996483,0.004,0.1001001,957.8578579,2.222996483,0.011,957.957958
0.1001001,2.682695795,0.004,0.1001001,957.8578579,2.682695795,0.011,957.957958
0.1001001,3.237457543,0.004,0.1001001,957.8578579,3.237457543,0.011,957.957958
0.1001001,3.906939937,0.004,0.1001001,957.8578579,3.906939937,0.011,957.957958
0,4.714866363,0.004,0,957.957958,4.714866363,0.011,957.957958
0,5.689866029,0.004,0,957.957958,5.689866029,0.011,957.957958
0,6.86648845,0.004,0,957.957958,6.86648845,0.011,957.957958
0.1001001,8.286427729,0.004,0.1001001,957.957958,8.286427729,0.011,958.0580581
0.1001001,10,0.004,0.1001001,957.957958,10,0.011,958.0580581
6.206206206,0.001,0.005,6.206206206,901.2012012,0.001,0.011,907.4074074
7.007007007,0.001206793,0.005,7.007007007,902.4024024,0.001206793,0.011,909.4094094
8.008008008,0.001456348,0.005,8.008008008,903.7037037,0.001456348,0.011,911.7117117
8.908908909,0.001757511,0.005,8.908908909,905.3053053,0.001757511,0.011,914.2142142
9.90990991,0.002120951,0.005,9.90990991,907.007007,0.002120951,0.011,916.9169169
10.81081081,0.002559548,0.005,10.81081081,909.009009,0.002559548,0.011,919.8198198
11.51151151,0.003088844,0.005,11.51151151,911.3113113,0.003088844,0.011,922.8228228
12.11211211,0.003727594,0.005,12.11211211,913.7137137,0.003727594,0.011,925.8258258
12.51251251,0.004498433,0.005,12.51251251,916.4164164,0.004498433,0.011,928.9289289
12.71271271,0.005428675,0.005,12.71271271,919.2192192,0.005428675,0.011,931.9319319
12.71271271,0.006551286,0.005,12.71271271,922.2222222,0.006551286,0.011,934.9349349
12.41241241,0.007906043,0.005,12.41241241,925.2252252,0.007906043,0.011,937.6376376
11.91191191,0.009540955,0.005,11.91191191,928.3283283,0.009540955,0.011,940.2402402
11.31131131,0.011513954,0.005,11.31131131,931.3313313,0.011513954,0.011,942.6426426
10.41041041,0.013894955,0.005,10.41041041,934.3343343,0.013894955,0.011,944.7447447
9.50950951,0.016768329,0.005,9.50950951,937.1371371,0.016768329,0.011,946.6466466
8.608608609,0.020235896,0.005,8.608608609,939.7397397,0.020235896,0.011,948.3483483
7.707707708,0.024420531,0.005,7.707707708,942.1421421,0.024420531,0.011,949.8498498
6.806806807,0.029470517,0.005,6.806806807,944.3443443,0.029470517,0.011,951.1511512
5.905905906,0.035564803,0.005,5.905905906,946.3463463,0.035564803,0.011,952.2522523
5.105105105,0.042919343,0.005,5.105105105,948.048048,0.042919343,0.011,953.1531532
4.404404404,0.051794747,0.005,4.404404404,949.5495495,0.051794747,0.011,953.953954
3.703703704,0.062505519,0.005,3.703703704,950.8508509,0.062505519,0.011,954.5545546
3.103103103,0.075431201,0.005,3.103103103,952.0520521,0.075431201,0.011,955.1551552
2.702702703,0.091029818,0.005,2.702702703,952.952953,0.091029818,0.011,955.6556557
2.302302302,0.109854114,0.005,2.302302302,953.7537538,0.109854114,0.011,956.0560561
1.901901902,0.132571137,0.005,1.901901902,954.4544545,0.132571137,0.011,956.3563564
1.601601602,0.159985872,0.005,1.601601602,955.0550551,0.159985872,0.011,956.6566567
1.301301301,0.193069773,0.005,1.301301301,955.5555556,0.193069773,0.011,956.8568569
1.101101101,0.232995181,0.005,1.101101101,955.955956,0.232995181,0.011,957.0570571
0.900900901,0.28117687,0.005,0.900900901,956.3563564,0.28117687,0.011,957.2572573
0.800800801,0.339322177,0.005,0.800800801,956.5565566,0.339322177,0.011,957.3573574
0.600600601,0.409491506,0.005,0.600600601,956.8568569,0.409491506,0.011,957.4574575
0.5005005,0.494171336,0.005,0.5005005,957.0570571,0.494171336,0.011,957.5575576
0.4004004,0.596362332,0.005,0.4004004,957.2572573,0.596362332,0.011,957.6576577
0.4004004,0.719685673,0.005,0.4004004,957.3573574,0.719685673,0.011,957.7577578
0.3003003,0.868511374,0.005,0.3003003,957.4574575,0.868511374,0.011,957.7577578
0.3003003,1.048113134,0.005,0.3003003,957.5575576,1.048113134,0.011,957.8578579
0.2002002,1.264855217,0.005,0.2002002,957.6576577,1.264855217,0.011,957.8578579
0.1001001,1.526417967,0.005,0.1001001,957.7577578,1.526417967,0.011,957.8578579
0.2002002,1.842069969,0.005,0.2002002,957.7577578,1.842069969,0.011,957.957958
0.1001001,2.222996483,0.005,0.1001001,957.8578579,2.222996483,0.011,957.957958
0.1001001,2.682695795,0.005,0.1001001,957.8578579,2.682695795,0.011,957.957958
0.1001001,3.237457543,0.005,0.1001001,957.8578579,3.237457543,0.011,957.957958
