Resonance Peak Shift (nm),Concentration (uM),Dissociation Constant (uM^-1),,,,,
0.1001001,3.906939937,0.005,0.1001001,957.8578579,3.906939937,0.011,957.957958
0,4.714866363,0.005,0,957.957958,4.714866363,0.011,957.957958
0,5.689866029,0.005,0,957.957958,5.689866029,0.011,957.957958
0,6.86648845,0.005,0,957.957958,6.86648845,0.011,957.957958
0,8.286427729,0.005,0,957.957958,8.286427729,0.011,957.957958
0,10,0.005,0,957.957958,10,0.011,957.957958
4.404404404,0.001,0.006,4.404404404,901.2012012,0.001,0.011,905.6056056
5.105105105,0.001206793,0.006,5.105105105,902.4024024,0.001206793,0.011,907.5075075
5.805805806,0.001456348,0.006,5.805805806,903.7037037,0.001456348,0.011,909.5095095
6.506506507,0.001757511,0.006,6.506506507,905.3053053,0.001757511,0.011,911.8118118
7.307307307,0.002120951,0.006,7.307307307,907.007007,0.002120951,0.011,914.3143143
8.008008008,0.002559548,0.006,8.008008008,909.009009,0.002559548,0.011,917.017017
8.608608609,0.003088844,0.006,8.608608609,911.3113113,0.003088844,0.011,919.9199199
9.109109109,0.003727594,0.006,9.109109109,913.7137137,0.003727594,0.011,922.8228228
9.50950951,0.004498433,0.006,9.50950951,916.4164164,0.004498433,0.011,925.9259259
9.80980981,0.005428675,0.006,9.80980981,919.2192192,0.005428675,0.011,929.029029
9.80980981,0.006551286,0.006,9.80980981,922.2222222,0.006551286,0.011,932.032032
9.70970971,0.007906043,0.006,9.70970971,925.2252252,0.007906043,0.011,934.9349349
9.409409409,0.009540955,0.006,9.409409409,928.3283283,0.009540955,0.011,937.7377377
9.009009009,0.011513954,0.006,9.009009009,931.3313313,0.011513954,0.011,940.3403403
8.408408408,0.013894955,0.006,8.408408408,934.3343343,0.013894955,0.011,942.7427427
7.707707708,0.016768329,0.006,7.707707708,937.1371371,0.016768329,0.011,944.8448448
7.007007007,0.020235896,0.006,7.007007007,939.7397397,0.020235896,0.011,946.7467467
6.306306306,0.024420531,0.006,6.306306306,942.1421421,0.024420531,0.011,948.4484484
5.505505506,0.029470517,0.006,5.505505506,944.3443443,0.029470517,0.011,949.8498498
4.804804805,0.035564803,0.006,4.804804805,946.3463463,0.035564803,0.011,951.1511512
4.204204204,0.042919343,0.006,4.204204204,948.048048,0.042919343,0.011,952.2522523
3.603603604,0.051794747,0.006,3.603603604,949.5495495,0.051794747,0.011,953.1531532
3.103103103,0.062505519,0.006,3.103103103,950.8508509,0.062505519,0.011,953.953954
2.602602603,0.075431201,0.006,2.602602603,952.0520521,0.075431201,0.011,954.6546547
2.202202202,0.091029818,0.006,2.202202202,952.952953,0.091029818,0.011,955.1551552
1.901901902,0.109854114,0.006,1.901901902,953.7537538,0.109854114,0.011,955.6556557
1.601601602,0.132571137,0.006,1.601601602,954.4544545,0.132571137,0.011,956.0560561
1.301301301,0.159985872,0.006,1.301301301,955.0550551,0.159985872,0.011,956.3563564
1.101101101,0.193069773,0.006,1.101101101,955.5555556,0.193069773,0.011,956.6566567
0.900900901,0.232995181,0.006,0.900900901,955.955956,0.232995181,0.011,956.8568569
0.700700701,0.28117687,0.006,0.700700701,956.3563564,0.28117687,0.011,957.0570571
0.700700701,0.339322177,0.006,0.700700701,956.5565566,0.339322177,0.011,957.2572573
0.500500501,0.409491506,0.006,0.500500501,956.8568569,0.409491506,0.011,957.3573574
0.4004004,0.494171336,0.006,0.4004004,957.0570571,0.494171336,0.011,957.4574575
0.3003003,0.596362332,0.006,0.3003003,957.2572573,0.596362332,0.011,957.5575576
0.3003003,0.719685673,0.006,0.3003003,957.3573574,0.719685673,0.011,957.6576577
0.3003003,0.868511374,0.006,0.3003003,957.4574575,0.868511374,0.011,957.7577578
0.2002002,1.048113134,0.006,0.2002002,957.5575576,1.048113134,0.011,957.7577578
0.2002002,1.264855217,0.006,0.2002002,957.6576577,1.264855217,0.011,957.8578579
0.1001001,1.526417967,0.006,0.1001001,957.7577578,1.526417967,0.011,957.8578579
0.1001001,1.842069969,0.006,0.1001001,957.7577578,1.842069969,0.011,957.8578579
0.1001001,2.222996483,0.006,0.1001001,957.8578579,2.222996483,0.011,957.957958
0.1001001,2.682695795,0.006,0.1001001,957.8578579,2.682695795,0.011,957.957958
0.1001001,3.237457543,0.006,0.1001001,957.8578579,3.237457543,0.011,957.957958
0.1001001,3.906939937,0.006,0.1001001,957.8578579,3.906939937,0.011,957.957958
0,4.714866363,0.006,0,957.957958,4.714866363,0.011,957.957958
0,5.689866029,0.006,0,957.957958,5.689866029,0.011,957.957958
0,6.86648845,0.006,0,957.957958,6.86648845,0.011,957.957958
0,8.286427729,0.006,0,957.957958,8.286427729,0.011,957.957958
0,10,0.006,0,957.957958,10,0.011,957.957958
3.103103103,0.001,0.007,3.103103103,901.2012012,0.001,0.011,904.3043043
3.503503504,0.001206793,0.007,3.503503504,902.4024024,0.001206793,0.011,905.9059059
4.104104104,0.001456348,0.007,4.104104104,903.7037037,0.001456348,0.011,907.8078078
4.604604605,0.001757511,0.007,4.604604605,905.3053053,0.001757511,0.011,909.9099099
5.205205205,0.002120951,0.007,5.205205205,907.007007,0.002120951,0.011,912.2122122
5.805805806,0.002559548,0.007,5.805805806,909.009009,0.002559548,0.011,914.8148148
6.206206206,0.003088844,0.007,6.206206206,911.3113113,0.003088844,0.011,917.5175175
6.706706707,0.003727594,0.007,6.706706707,913.7137137,0.003727594,0.011,920.4204204
7.007007007,0.004498433,0.007,7.007007007,916.4164164,0.004498433,0.011,923.4234234
7.307307307,0.005428675,0.007,7.307307307,919.2192192,0.005428675,0.011,926.5265265
7.307307307,0.006551286,0.007,7.307307307,922.2222222,0.006551286,0.011,929.5295295
7.407407407,0.007906043,0.007,7.407407407,925.2252252,0.007906043,0.011,932.6326326
7.207207207,0.009540955,0.007,7.207207207,928.3283283,0.009540955,0.011,935.5355355
6.906906907,0.011513954,0.007,6.906906907,931.3313313,0.011513954,0.011,938.2382382
6.406406406,0.013894955,0.007,6.406406406,934.3343343,0.013894955,0.011,940.7407407
6.006006006,0.016768329,0.007,6.006006006,937.1371371,0.016768329,0.011,943.1431431
5.505505506,0.020235896,0.007,5.505505506,939.7397397,0.020235896,0.011,945.2452452
4.904904905,0.024420531,0.007,4.904904905,942.1421421,0.024420531,0.011,947.047047
4.304304304,0.029470517,0.007,4.304304304,944.3443443,0.029470517,0.011,948.6486486
3.803803804,0.035564803,0.007,3.803803804,946.3463463,0.035564803,0.011,950.1501502
3.303303303,0.042919343,0.007,3.303303303,948.048048,0.042919343,0.011,951.3513514
2.902902903,0.051794747,0.007,2.902902903,949.5495495,0.051794747,0.011,952.4524525
2.502502503,0.062505519,0.007,2.502502503,950.8508509,0.062505519,0.011,953.3533534
2.002002002,0.075431201,0.007,2.002002002,952.0520521,0.075431201,0.011,954.0540541
1.801801802,0.091029818,0.007,1.801801802,952.952953,0.091029818,0.011,954.7547548
1.501501502,0.109854114,0.007,1.501501502,953.7537538,0.109854114,0.011,955.2552553
1.301301301,0.132571137,0.007,1.301301301,954.4544545,0.132571137,0.011,955.7557558
1.101101101,0.159985872,0.007,1.101101101,955.0550551,0.159985872,0.011,956.1561562
0.900900901,0.193069773,0.007,0.900900901,955.5555556,0.193069773,0.011,956.4564565
0.700700701,0.232995181,0.007,0.700700701,955.955956,0.232995181,0.011,956.6566567
0.600600601,0.28117687,0.007,0.600600601,956.3563564,0.28117687,0.011,956.956957
0.600600601,0.339322177,0.007,0.600600601,956.5565566,0.339322177,0.011,957.1571572
0.4004004,0.409491506,0.007,0.4004004,956.8568569,0.409491506,0.011,957.2572573
0.3003003,0.494171336,0.007,0.3003003,957.0570571,0.494171336,0.011,957.3573574
0.3003003,0.596362332,0.007,0.3003003,957.2572573,0.596362332,0.011,957.5575576
0.2002002,0.719685673,0.007,0.2002002,957.3573574,0.719685673,0.011,957.5575576
0.2002002,0.868511374,0.007,0.2002002,957.4574575,0.868511374,0.011,957.6576577
0.2002002,1.048113134,0.007,0.2002002,957.5575576,1.048113134,0.011,957.7577578
0.1001001,1.264855217,0.007,0.1001001,957.6576577,1.264855217,0.011,957.7577578
0.1001001,1.526417967,0.007,0.1001001,957.7577578,1.526417967,0.011,957.8578579
0.1001001,1.842069969,0.007,0.1001001,957.7577578,1.842069969,0.011,957.8578579
9.09495E-13,2.222996483,0.007,-9.09495E-13,957.8578579,2.222996483,0.011,957.8578579
0.1001001,2.682695795,0.007,0.1001001,957.8578579,2.682695795,0.011,957.957958
0.1001001,3.237457543,0.007,0.1001001,957.8578579,3.237457543,0.011,957.957958
0.1001001,3.906939937,0.007,0.1001001,957.8578579,3.906939937,0.011,957.957958
0,4.714866363,0.007,0,957.957958,4.714866363,0.011,957.957958
0,5.689866029,0.007,0,957.957958,5.689866029,0.011,957.957958
0,6.86648845,0.007,0,957.957958,6.86648845,0.011,957.957958
0,8.286427729,0.007,0,957.957958,8.286427729,0.011,957.957958
0,10,0.007,0,957.957958,10,0.011,957.957958
2.102102102,0.001,0.008,2.102102102,901.2012012,0.001,0.011,903.3033033
2.402402402,0.001206793,0.008,2.402402402,902.4024024,0.001206793,0.011,904.8048048
2.802802803,0.001456348,0.008,2.802802803,903.7037037,0.001456348,0.011,906.5065065
3.103103103,0.001757511,0.008,3.103103103,905.3053053,0.001757511,0.011,908.4084084
3.503503504,0.002120951,0.008,3.503503504,907.007007,0.002120951,0.011,910.5105105
3.903903904,0.002559548,0.008,3.903903904,909.009009,0.002559548,0.011,912.9129129
4.204204204,0.003088844,0.008,4.204204204,911.3113113,0.003088844,0.011,915.5155155
4.604604605,0.003727594,0.008,4.604604605,913.7137137,0.003727594,0.011,918.3183183
4.804804805,0.004498433,0.008,4.804804805,916.4164164,0.004498433,0.011,921.2212212
5.105105105,0.005428675,0.008,5.105105105,919.2192192,0.005428675,0.011,924.3243243
5.205205205,0.006551286,0.008,5.205205205,922.2222222,0.006551286,0.011,927.4274274
5.205205205,0.007906043,0.008,5.205205205,925.2252252,0.007906043,0.011,930.4304304
5.105105105,0.009540955,0.008,5.105105105,928.3283283,0.009540955,0.011,933.4334334
5.005005005,0.011513954,0.008,5.005005005,931.3313313,0.011513954,0.011,936.3363363
4.704704705,0.013894955,0.008,4.704704705,934.3343343,0.013894955,0.011,939.039039
4.304304304,0.016768329,0.008,4.304304304,937.1371371,0.016768329,0.011,941.4414414
4.004004004,0.020235896,0.008,4.004004004,939.7397397,0.020235896,0.011,943.7437437
3.603603604,0.024420531,0.008,3.603603604,942.1421421,0.024420531,0.011,945.7457457
3.203203203,0.029470517,0.008,3.203203203,944.3443443,0.029470517,0.011,947.5475475
2.802802803,0.035564803,0.008,2.802802803,946.3463463,0.035564803,0.011,949.1491491
2.502502503,0.042919343,0.008,2.502502503,948.048048,0.042919343,0.011,950.5505506
2.102102102,0.051794747,0.008,2.102102102,949.5495495,0.051794747,0.011,951.6516517
1.801801802,0.062505519,0.008,1.801801802,950.8508509,0.062505519,0.011,952.6526527
1.501501502,0.075431201,0.008,1.501501502,952.0520521,0.075431201,0.011,953.5535536
1.301301301,0.091029818,0.008,1.301301301,952.952953,0.091029818,0.011,954.2542543
1.101101101,0.109854114,0.008,1.101101101,953.7537538,0.109854114,0.011,954.8548549
1.001001001,0.132571137,0.008,1.001001001,954.4544545,0.132571137,0.011,955.4554555
0.800800801,0.159985872,0.008,0.800800801,955.0550551,0.159985872,0.011,955.8558559
0.700700701,0.193069773,0.008,0.700700701,955.5555556,0.193069773,0.011,956.2562563
0.600600601,0.232995181,0.008,0.600600601,955.955956,0.232995181,0.011,956.5565566
0.4004004,0.28117687,0.008,0.4004004,956.3563564,0.28117687,0.011,956.7567568
0.4004004,0.339322177,0.008,0.4004004,956.5565566,0.339322177,0.011,956.956957
0.3003003,0.409491506,0.008,0.3003003,956.8568569,0.409491506,0.011,957.1571572
0.3003003,0.494171336,0.008,0.3003003,957.0570571,0.494171336,0.011,957.3573574
0.2002002,0.596362332,0.008,0.2002002,957.2572573,0.596362332,0.011,957.4574575
0.2002002,0.719685673,0.008,0.2002002,957.3573574,0.719685673,0.011,957.5575576
0.2002002,0.868511374,0.008,0.2002002,957.4574575,0.868511374,0.011,957.6576577
0.1001001,1.048113134,0.008,0.1001001,957.5575576,1.048113134,0.011,957.6576577
0.1001001,1.264855217,0.008,0.1001001,957.6576577,1.264855217,0.011,957.7577578
0,1.526417967,0.008,0,957.7577578,1.526417967,0.011,957.7577578
0.1001001,1.842069969,0.008,0.1001001,957.7577578,1.842069969,0.011,957.8578579
9.09495E-13,2.222996483,0.008,-9.09495E-13,957.8578579,2.222996483,0.011,957.8578579
9.09495E-13,2.682695795,0.008,-9.09495E-13,957.8578579,2.682695795,0.011,957.8578579
0.1001001,3.237457543,0.008,0.1001001,957.8578579,3.237457543,0.011,957.957958
0.1001001,3.906939937,0.008,0.1001001,957.8578579,3.906939937,0.011,957.957958
0,4.714866363,0.008,0,957.957958,4.714866363,0.011,957.957958
0,5.689866029,0.008,0,957.957958,5.689866029,0.011,957.957958
0,6.86648845,0.008,0,957.957958,6.86648845,0.011,957.957958
0,8.286427729,0.008,0,957.957958,8.286427729,0.011,957.957958
0,10,0.008,0,957.957958,10,0.011,957.957958
1.201201201,0.001,0.009,1.201201201,901.2012012,0.001,0.011,902.4024024
1.401401401,0.001206793,0.009,1.401401401,902.4024024,0.001206793,0.011,903.8038038
1.701701702,0.001456348,0.009,1.701701702,903.7037037,0.001456348,0.011,905.4054054
1.901901902,0.001757511,0.009,1.901901902,905.3053053,0.001757511,0.011,907.2072072
2.202202202,0.002120951,0.009,2.202202202,907.007007,0.002120951,0.011,909.2092092
2.402402402,0.002559548,0.009,2.402402402,909.009009,0.002559548,0.011,911.4114114
2.602602603,0.003088844,0.009,2.602602603,911.3113113,0.003088844,0.011,913.9139139
2.902902903,0.003727594,0.009,2.902902903,913.7137137,0.003727594,0.011,916.6166166
3.003003003,0.004498433,0.009,3.003003003,916.4164164,0.004498433,0.011,919.4194194
3.203203203,0.005428675,0.009,3.203203203,919.2192192,0.005428675,0.011,922.4224224
3.203203203,0.006551286,0.009,3.203203203,922.2222222,0.006551286,0.011,925.4254254
3.303303303,0.007906043,0.009,3.303303303,925.2252252,0.007906043,0.011,928.5285285
3.203203203,0.009540955,0.009,3.203203203,928.3283283,0.009540955,0.011,931.5315315
3.203203203,0.011513954,0.009,3.203203203,931.3313313,0.011513954,0.011,934.5345345
3.003003003,0.013894955,0.009,3.003003003,934.3343343,0.013894955,0.011,937.3373373
2.802802803,0.016768329,0.009,2.802802803,937.1371371,0.016768329,0.011,939.9399399
2.602602603,0.020235896,0.009,2.602602603,939.7397397,0.020235896,0.011,942.3423423
2.402402402,0.024420531,0.009,2.402402402,942.1421421,0.024420531,0.011,944.5445445
2.102102102,0.029470517,0.009,2.102102102,944.3443443,0.029470517,0.011,946.4464464
1.801801802,0.035564803,0.009,1.801801802,946.3463463,0.035564803,0.011,948.1481481
1.601601602,0.042919343,0.009,1.601601602,948.048048,0.042919343,0.011,949.6496496
1.401401401,0.051794747,0.009,1.401401401,949.5495495,0.051794747,0.011,950.950951
1.201201201,0.062505519,0.009,1.201201201,950.8508509,0.062505519,0.011,952.0520521
1.001001001,0.075431201,0.009,1.001001001,952.0520521,0.075431201,0.011,953.0530531
0.900900901,0.091029818,0.009,0.900900901,952.952953,0.091029818,0.011,953.8538539
0.800800801,0.109854114,0.009,0.800800801,953.7537538,0.109854114,0.011,954.5545546
0.600600601,0.132571137,0.009,0.600600601,954.4544545,0.132571137,0.011,955.0550551
0.5005005,0.159985872,0.009,0.5005005,955.0550551,0.159985872,0.011,955.5555556
0.4004004,0.193069773,0.009,0.4004004,955.5555556,0.193069773,0.011,955.955956
0.4004004,0.232995181,0.009,0.4004004,955.955956,0.232995181,0.011,956.3563564
0.3003003,0.28117687,0.009,0.3003003,956.3563564,0.28117687,0.011,956.6566567
0.3003003,0.339322177,0.009,0.3003003,956.5565566,0.339322177,0.011,956.8568569
0.2002002,0.409491506,0.009,0.2002002,956.8568569,0.409491506,0.011,957.0570571
0.2002002,0.494171336,0.009,0.2002002,957.0570571,0.494171336,0.011,957.2572573
0.1001001,0.596362332,0.009,0.1001001,957.2572573,0.596362332,0.011,957.3573574
0.1001001,0.719685673,0.009,0.1001001,957.3573574,0.719685673,0.011,957.4574575
0.1001001,0.868511374,0.009,0.1001001,957.4574575,0.868511374,0.011,957.5575576
0.1001001,1.048113134,0.009,0.1001001,957.5575576,1.048113134,0.011,957.6576577
0.1001001,1.264855217,0.009,0.1001001,957.6576577,1.264855217,0.011,957.7577578
0,1.526417967,0.009,0,957.7577578,1.526417967,0.011,957.7577578
0.1001001,1.842069969,0.009,0.1001001,957.7577578,1.842069969,0.011,957.8578579
9.09495E-13,2.222996483,0.009,-9.09495E-13,957.8578579,2.222996483,0.011,957.8578579
9.09495E-13,2.682695795,0.009,-9.09495E-13,957.8578579,2.682695795,0.011,957.8578579
9.09495E-13,3.237457543,0.009,-9.09495E-13,957.8578579,3.237457543,0.011,957.8578579
0.1001001,3.906939937,0.009,0.1001001,957.8578579,3.906939937,0.011,957.957958
0,4.714866363,0.009,0,957.957958,4.714866363,0.011,957.957958
0,5.689866029,0.009,0,957.957958,5.689866029,0.011,957.957958
0,6.86648845,0.009,0,957.957958,6.86648845,0.011,957.957958
0,8.286427729,0.009,0,957.957958,8.286427729,0.011,957.957958
0,10,0.009,0,957.957958,10,0.011,957.957958
0.600600601,0.001,0.01,0.600600601,901.2012012,0.001,0.011,901.8018018
0.600600601,0.001206793,0.01,0.600600601,902.4024024,0.001206793,0.011,903.003003
0.800800801,0.001456348,0.01,0.800800801,903.7037037,0.001456348,0.011,904.5045045
0.800800801,0.001757511,0.01,0.800800801,905.3053053,0.001757511,0.011,906.1061061
1.001001001,0.002120951,0.01,1.001001001,907.007007,0.002120951,0.011,908.008008
1.101101101,0.002559548,0.01,1.101101101,909.009009,0.002559548,0.011,910.1101101
1.201201201,0.003088844,0.01,1.201201201,911.3113113,0.003088844,0.011,912.5125125
1.301301301,0.003727594,0.01,1.301301301,913.7137137,0.003727594,0.011,915.015015
1.401401401,0.004498433,0.01,1.401401401,916.4164164,0.004498433,0.011,917.8178178
1.501501502,0.005428675,0.01,1.501501502,919.2192192,0.005428675,0.011,920.7207207
1.501501502,0.006551286,0.01,1.501501502,922.2222222,0.006551286,0.011,923.7237237
1.601601602,0.007906043,0.01,1.601601602,925.2252252,0.007906043,0.011,926.8268268
1.601601602,0.009540955,0.01,1.601601602,928.3283283,0.009540955,0.011,929.9299299
1.601601602,0.011513954,0.01,1.601601602,931.3313313,0.011513954,0.011,932.9329329
1.401401401,0.013894955,0.01,1.401401401,934.3343343,0.013894955,0.011,935.7357357
1.401401401,0.016768329,0.01,1.401401401,937.1371371,0.016768329,0.011,938.5385385
1.301301301,0.020235896,0.01,1.301301301,939.7397397,0.020235896,0.011,941.041041
1.201201201,0.024420531,0.01,1.201201201,942.1421421,0.024420531,0.011,943.3433433
1.101101101,0.029470517,0.01,1.101101101,944.3443443,0.029470517,0.011,945.4454454
0.900900901,0.035564803,0.01,0.900900901,946.3463463,0.035564803,0.011,947.2472472
0.800800801,0.042919343,0.01,0.800800801,948.048048,0.042919343,0.011,948.8488488
0.700700701,0.051794747,0.01,0.700700701,949.5495495,0.051794747,0.011,950.2502503
0.600600601,0.062505519,0.01,0.600600601,950.8508509,0.062505519,0.011,951.4514515
0.5005005,0.075431201,0.01,0.5005005,952.0520521,0.075431201,0.011,952.5525526
0.4004004,0.091029818,0.01,0.4004004,952.952953,0.091029818,0.011,953.3533534
0.4004004,0.109854114,0.01,0.4004004,953.7537538,0.109854114,0.011,954.1541542
0.3003003,0.132571137,0.01,0.3003003,954.4544545,0.132571137,0.011,954.7547548
0.3003003,0.159985872,0.01,0.3003003,955.0550551,0.159985872,0.011,955.3553554
0.2002002,0.193069773,0.01,0.2002002,955.5555556,0.193069773,0.011,955.7557558
0.2002002,0.232995181,0.01,0.2002002,955.955956,0.232995181,0.011,956.1561562
0.1001001,0.28117687,0.01,0.1001001,956.3563564,0.28117687,0.011,956.4564565
0.2002002,0.339322177,0.01,0.2002002,956.5565566,0.339322177,0.011,956.7567568
0.1001001,0.409491506,0.01,0.1001001,956.8568569,0.409491506,0.011,956.956957
0.1001001,0.494171336,0.01,0.1001001,957.0570571,0.494171336,0.011,957.1571572
0,0.596362332,0.01,0,957.2572573,0.596362332,0.011,957.2572573
0.1001001,0.719685673,0.01,0.1001001,957.3573574,0.719685673,0.011,957.4574575
0.1001001,0.868511374,0.01,0.1001001,957.4574575,0.868511374,0.011,957.5575576
0,1.048113134,0.01,0,957.5575576,1.048113134,0.011,957.5575576
0,1.264855217,0.01,0,957.6576577,1.264855217,0.011,957.6576577
0,1.526417967,0.01,0,957.7577578,1.526417967,0.011,957.7577578
0,1.842069969,0.01,0,957.7577578,1.842069969,0.011,957.7577578
9.09495E-13,2.222996483,0.01,-9.09495E-13,957.8578579,2.222996483,0.011,957.8578579
9.09495E-13,2.682695795,0.01,-9.09495E-13,957.8578579,2.682695795,0.011,957.8578579
9.09495E-13,3.237457543,0.01,-9.09495E-13,957.8578579,3.237457543,0.011,957.8578579
0.1001001,3.906939937,0.01,0.1001001,957.8578579,3.906939937,0.011,957.957958
0,4.714866363,0.01,0,957.957958,4.714866363,0.011,957.957958
